Source                         & alpha-avg            & avg-fth33             & fth33-fix               & Galaxy
MCG+12-02-001 (S-tot)          & $-0.64\pm 0.02$      & $0.35\pm0.03$         & $0.50_{-0.02}^{+0.02}$  & MCG+12-02-001
MCG+12-02-001 (S-CE-tot)       & $-0.61\pm 0.01$      & $0.40\pm0.02$         & $0.52_{-0.02}^{+0.02}$  & MCG+12-02-001
MCG+12-02-001 (S-CE-CE-uc)     & $-0.18\pm 0.03$      & $0.92\pm0.03$         & $0.58_{-0.02}^{+0.02}$  & MCG+12-02-001
MCG+12-02-001 (S-CE-N-uc)      & ---                  & ---                   & ---                     & MCG+12-02-001
MCG+12-02-001 (S-CE-E-E-uc)    & $-0.52\pm 0.07$      & $0.53\pm0.09$         & $0.89_{-0.01}^{+0.01}$  & MCG+12-02-001
MCG+12-02-001 (S-CE-ext)       & $-0.91\pm 0.02$      & $0.16\pm0.04$         & $0.33_{-0.04}^{+0.04}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-tot)       & $-0.83\pm 0.05$      & $0.03\pm0.09$         & $0.42_{-0.04}^{+0.03}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-uc)        & ---                  & ---                   & ---                     & MCG+12-02-001
MCG+12-02-001 (S-WE-ext)       & $-0.83\pm 0.05$      & $0.03\pm0.09$         & $0.42_{-0.04}^{+0.03}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-1-tot)     & $-1.08\pm 0.13$      & $0.14\pm0.18$         & $0.03_{-0.01}^{+0.03}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-1-uc)      & ---                  & ---                   & ---                     & MCG+12-02-001
MCG+12-02-001 (S-WE-1-ext)     & $-1.08\pm 0.13$      & $0.14\pm0.18$         & $0.03_{-0.01}^{+0.03}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-2-tot)     & $-0.63\pm 0.08$      & $0.37\pm0.13$         & $0.47_{-0.04}^{+0.04}$  & MCG+12-02-001
MCG+12-02-001 (S-WE-2-uc)      & ---                  & ---                   & ---                     & MCG+12-02-001
